report,report_short,cohort,level,aggregation,feature_set,model,split,auc_macro_ovr,early_vs_advanced_auc,t1_t2_auc,t2_t3_auc,t3_t4_auc
dinov3_t2t3_expert_calibrated_eval_final_trainval,T2/T3 expert (final),Test,patient,—,,,test,0.781167601312539,0.8696118123362706,0.6591970121381886,0.719002306805075,0.811772569990563
dinov3_t2t3_expert_calibrated_eval_final_trainval,T2/T3 expert (final),Test,patient,calibrated α=0.25,clinical_anatomic+dino_expert,extra_trees+extra_trees,test,0.781167601312539,0.8696118123362706,0.6591970121381886,0.719002306805075,0.811772569990563
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,max,dino_top16_plus_clinical_anatomic,extra_trees,test_prospective_full,0.7811430101438555,0.876890756302521,0.7399577167019027,0.78766835016835,0.7365900383141762
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,mean,dino_top64_plus_clinical_anatomic,extra_trees,val,0.7809933154563989,0.8776223776223777,0.6716666666666667,0.8,0.6870144284128745
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,mean,dino_top64_plus_clinical_anatomic,extra_trees,val,0.7809933154563989,0.8776223776223777,0.6716666666666667,0.8,0.6870144284128745
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,mean,dino_top64_plus_clinical_anatomic,extra_trees,val,0.7809933154563989,0.8776223776223777,0.6716666666666667,0.8,0.6870144284128745
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,top3_advanced,dino_top32_plus_clinical_anatomic,extra_trees,test_prospective_full,0.7809514350883584,0.8672592113768584,0.748062015503876,0.7750420875420876,0.7449712643678161
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,hybrid,dino_top32_plus_clinical_anatomic,extra_trees,val,0.780920819503256,0.8812937062937063,0.6549999999999999,0.8026143790849674,0.6914539400665927
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,hybrid,dino_top32_plus_clinical_anatomic,extra_trees,val,0.780920819503256,0.8812937062937063,0.6549999999999999,0.8026143790849674,0.6914539400665927
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,hybrid,dino_top32_plus_clinical_anatomic,extra_trees,val,0.780920819503256,0.8812937062937063,0.6549999999999999,0.8026143790849674,0.6914539400665927
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,top3_advanced,dino_top32_plus_clinical_anatomic,extra_trees,val,0.7807850352606267,0.8786713286713286,0.6566666666666666,0.7973856209150326,0.6966333703292638
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,top3_advanced,dino_top32_plus_clinical_anatomic,extra_trees,val,0.7807850352606267,0.8786713286713286,0.6566666666666666,0.7973856209150326,0.6966333703292638
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,top3_advanced,dino_top32_plus_clinical_anatomic,extra_trees,val,0.7807850352606267,0.8786713286713286,0.6566666666666666,0.7973856209150326,0.6966333703292638
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,top3_advanced,clinical_anatomic,random_forest,val,0.7807675661142983,0.8853146853146853,0.615,0.7843137254901961,0.7129115797262302
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,top3_advanced,clinical_anatomic,random_forest,val,0.7807675661142983,0.8853146853146853,0.615,0.7843137254901961,0.7129115797262302
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,top3_advanced,clinical_anatomic,random_forest,val,0.7807675661142983,0.8853146853146853,0.615,0.7843137254901961,0.7129115797262302
dinov3_self_discovery_scalar_trainset_eval,self discovery scalar trains,Validation,patient,—,dino_rich_scalar_plus_clinical_anatomic,random_forest,val,0.7807073445453495,0.8722027972027973,0.7166666666666667,0.7725490196078432,0.7081021087680356
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,hybrid,dino_top16_plus_clinical_anatomic,extra_trees,val,0.7805886288398514,0.8805944055944056,0.66,0.7830065359477124,0.6925638179800222
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,hybrid,dino_top16_plus_clinical_anatomic,extra_trees,val,0.7805886288398514,0.8805944055944056,0.66,0.7830065359477124,0.6925638179800222
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,hybrid,dino_top16_plus_clinical_anatomic,extra_trees,val,0.7805886288398514,0.8805944055944056,0.66,0.7830065359477124,0.6925638179800222
dinov3_t2t3_expert_calibrated_eval,t2t3 expert calibrated eval,Test,patient,—,,,test,0.7805030998644298,0.8690362784790029,0.6575163398692812,0.7182814302191466,0.813109468386285
dinov3_t2t3_expert_calibrated_eval_final_trainval,T2/T3 expert (final),Test,patient,—,,,test,0.7805030998644298,0.8690362784790029,0.6575163398692812,0.7182814302191466,0.813109468386285
dinov3_t2t3_expert_calibrated_continue_20260518_152542_topk24_128,T2/T3 expert,Test,patient,—,,,test,0.7804588398373213,0.8692347384297848,0.6562091503267974,0.7200115340253749,0.8123623781063226
dinov3_t2t3_expert_calibrated_continue_20260518_152542_topk24_128,T2/T3 expert,Test,patient,calibrated α=0.25,clinical_anatomic+dino_expert,extra_trees+extra_trees,test,0.7804588398373213,0.8692347384297848,0.6562091503267974,0.7200115340253749,0.8123623781063226
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,hybrid,dino_top128_plus_clinical_anatomic,extra_trees,val,0.7803896898441353,0.8756993006993007,0.6766666666666666,0.7973856209150325,0.6984831668516464
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,hybrid,dino_top128_plus_clinical_anatomic,extra_trees,val,0.7803896898441353,0.8756993006993007,0.6766666666666666,0.7973856209150325,0.6984831668516464
