script,status,task,readme_section,owner_workspace,move_candidate,safe_to_run,uses_project_root,notes
apply_report_stage_override_clean.py,legacy,legacy,,scripts,scripts/legacy,no,false,hardcoded paths or README §7
assert_temporal_claims_deferred.py,current,segmentation,6,scripts,scripts/current,yes,true,
audit_clean_validation_integrity.py,maintenance,governance,,scripts,scripts/maintenance,yes,false,
audit_clinical_table_media_20260814.py,current,data_governance,3,scripts,scripts/current,review_paths,false,
audit_crop_ui_image_mask_video.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
audit_current_dataset_assets.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
audit_external_center_hospital_overlay.py,legacy,legacy,,scripts,scripts/legacy,no,true,hardcoded paths or README §7
audit_external_newzip_failure.py,maintenance,governance,,scripts,scripts/maintenance,yes,false,
audit_gastric_agent_source_errors.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
audit_gastric_agent_split_leakage.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
audit_mainline_eval_chain.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
audit_modeling_dataset_contracts.py,maintenance,data_governance,3,scripts,scripts/maintenance,yes,true,
audit_newzip_domain_gap.py,maintenance,governance,,scripts,scripts/maintenance,yes,false,
audit_patient_multiview_data.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
audit_reader_cohort_overlap_20260826.py,maintenance,governance,3,scripts,scripts/maintenance,yes,true,
audit_reader_subset.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
audit_task_datasets.py,maintenance,data_governance,3,scripts,scripts/maintenance,yes,true,
audit_ultrasound_report_registry.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
audit_video_dataset_completeness.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
batch_convert.py,legacy,data_governance,3,scripts,scripts/legacy,no,false,hardcoded paths or README §7
batch_crop.py,legacy,data_governance,3,scripts,scripts/legacy,no,false,hardcoded paths or README §7
boost_reader_study_v150_acc.py,runtime,module,,scripts,scripts/runtime,import_only,true,
boost_reader_study_v150_acc_advanced.py,runtime,module,,scripts,scripts/runtime,import_only,true,
boost_reader_study_v150_acc_target75.py,runtime,module,,scripts,scripts/runtime,import_only,true,
bootstrap_gus_o3_decode_20260826.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
bootstrap_tstaging_ci.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_accuracy_0_7_baseline_report.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_accuracy_0_7_frozen_eval_and_error_audit.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_agent_full_report.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_agent_traces.py,runtime,module,8,scripts,scripts/runtime,import_only,true,
build_architecture_html.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_asset_manifest.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
build_auto_discovery_seed_prompts.py,current,segmentation,6,scripts,scripts/current,yes,true,
build_autoresearch_results_summary.py,runtime,module,9,scripts,scripts/runtime,import_only,true,
build_balanced_routing_records.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_binary_box_mask_pack_20260825.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
build_binary_current_gastritis_dataset.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_binary_fn_must_review_list.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_binary_multicenter_joint_unseen.py,current,data_governance,3,scripts,scripts/current,yes,true,
build_binary_noshortcut_ab_20260824.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
build_binary_zmlholdout_clinmask_20260825.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
build_case001_video_report.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_clean_agent_split_manifest.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_clean_validation_leaderboard.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_clinical_loop_static_manifest.py,current,segmentation,6,scripts,scripts/current,yes,true,
build_clip_prompt_report_features.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_dataset_detail_html.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
build_dataset_inventory.py,current,data_governance,3,scripts,scripts/current,yes,true,
build_dataset_registry.py,maintenance,governance,3,scripts,scripts/maintenance,yes,true,
build_dataset_visual_overview.py,current,data_governance,3,scripts,scripts/current,yes,true,
build_dense_cine_annotation_subset.py,utility,utility,6,scripts,scripts/analysis,review,true,
build_detailed_clean_accuracy_validation.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_dino_region_token_manifest.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_e2e_clinical_report.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_experiments_registry.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
build_experiments_tree_index.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
build_external_center_eval_table.py,legacy,legacy,,scripts,scripts/legacy,no,false,hardcoded paths or README §7
build_full_prospective_tstaging_csv.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_full_queue_t2t3_report_20260809.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_gastric_agent_baseline_model_card.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_gastric_agent_history_library.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_gastric_agent_publication_tables.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_gastric_paper_assets.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_gastritis_video_previews.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
build_gc_us_spicule_reviewer_html_20260815.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
build_gc_us_tscore_algorithm_html_20260815.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
build_gc_us_tscore_anatomic_coverage_tables_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
build_gc_us_tscore_coverage_manifest_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
build_gc_us_tscore_feature_pack_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
build_gc_us_tscore_results_html_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
build_gc_us_tscore_results_html_zh_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
build_human_ai_comparison_full_report.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_human_ai_comparison_html.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_human_ai_comparison_package.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_image_video_pair_index.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
build_imaging_truth_charts_zh.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
build_log_index.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
build_lumen_crop_segmentation_dataset.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_ma_staging_memory_bank.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_mask_grounded_records.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_mask_region_supervision.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_model_inventory.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
build_multi_agent_report.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_multimodal_agent_dataset.py,runtime,module,8,scripts,scripts/runtime,import_only,true,
build_multimodal_alignment_records.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_multimodal_curriculum_records.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_paper_ablation_matrix.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
build_patient_media_registry.py,maintenance,governance,3,scripts,scripts/maintenance,yes,false,
build_patient_report_evidence.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_patient_training_view.py,current,data_governance,3,scripts,scripts/current,yes,true,
build_per_case_reader_table.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_phase0_anatomic_region_splits.py,maintenance,data_governance,3,scripts,scripts/maintenance,yes,true,
build_phase0_case_rag_memory.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_preop_clinical_fusion_manifest.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_public_electron.sh,utility,shell,7,scripts,scripts/analysis,review,false,
build_public_shell.sh,utility,shell,7,scripts,scripts/analysis,review,false,
build_putian_unified_patient_inventory.py,legacy,legacy,,scripts,scripts/legacy,no,false,hardcoded paths or README §7
build_reader_clip_patient_map.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
build_reader_patch_zip.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_reader_round2_freeze_tables.py,runtime,module,9,scripts,scripts/runtime,import_only,true,
build_reader_v150_case_to_patient_20260815.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_reader_v150_clinical_sidecar_20260818.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_real_cine_aligned_view.py,current,data_governance,3,scripts,scripts/current,yes,true,
build_region_contrastive_manifest.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_report_image_semantic_consistency.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_report_index.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
build_report_registry.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
build_sam31_gastric_coco.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_sam31_lora_results_html.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_screened_mainline_eval_datasets.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_script_registry.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,generates this file
build_single_patient_html.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_sms_baseline_dataset.py,current,segmentation,2,scripts,scripts/current,review_paths,false,
build_sms_patient_disjoint_manifest.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_static_images_view.py,current,data_governance,3,scripts,scripts/current,yes,true,
build_t2t3_gradcam_subset.py,legacy,legacy,,scripts,scripts/legacy,no,true,hardcoded paths or README §7
build_task_datasets.py,current,data_governance,3,scripts,scripts/current,yes,true,
build_task_datasets_source_inventory.py,current,data_governance,3,scripts,scripts/current,yes,true,
build_tnm_nm_phase0_splits_20260814.py,current,data_governance,3,scripts,scripts/current,yes,true,
build_training_media_view.py,current,data_governance,3,scripts,scripts/current,yes,true,
build_tscore_a5_review_pack.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_tstaging_center_tables.py,current,data_governance,9,scripts,scripts/current,yes,true,
build_tstaging_maincenter_retrospective.py,current,data_governance,9,scripts,scripts/current,yes,true,
build_tstaging_threecenter_joint_unseen.py,current,data_governance,9,scripts,scripts/current,yes,true,
build_tstaging_wadi_research_freeze_20260827.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_video_assets_registry.py,maintenance,governance,3,scripts,scripts/maintenance,yes,true,
build_video_frame_evidence_table.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
build_video_tstaging_eval_protocol.py,runtime,module,,scripts,scripts/runtime,import_only,true,
build_videos_view.py,current,data_governance,3,scripts,scripts/current,yes,true,
build_workspace_inventory.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
build_yolo_detection_dataset.py,current,detection,1,scripts,scripts/current,review_paths,false,
bundle_reader_standalone.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
cache_adapter_dinov3_case_rag_features.py,runtime,module,,scripts,scripts/runtime,import_only,true,
cache_convnext_tstaging_frame_features.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
cache_dinov3_patient_features.py,runtime,module,,scripts,scripts/runtime,import_only,true,
cache_dinov3_roi_green_scalars.py,current,analysis,,scripts,scripts/current,yes,true,
cache_dinov3_tstaging_region_features.py,runtime,module,,scripts,scripts/runtime,import_only,true,
cache_dinov3_tstaging_rich_scalars.py,runtime,module,,scripts,scripts/runtime,import_only,true,
cache_openclip_frame_features.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
calibrate_breakthrough_hierarchical_accuracy.py,runtime,module,,scripts,scripts/runtime,import_only,true,
calibrate_case_rag_gate.py,runtime,module,,scripts,scripts/runtime,import_only,true,
calibrate_clean_accuracy_decision.py,legacy,legacy,,scripts,scripts/legacy,no,false,hardcoded paths or README §7
calibrate_gastric_agent_ordinal_boundaries.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
calibrate_wall_layer_t123_gate.py,runtime,module,,scripts,scripts/runtime,import_only,true,
check_clean_agent_target_gate.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
check_clinical_tables_20260814.py,current,data_governance,3,scripts,scripts/current,review_paths,false,
check_concept_quality.py,maintenance,governance,5,scripts,scripts/maintenance,yes,false,
check_reader_export_schema.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
check_repo_root.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
check_sex_col.py,legacy,legacy,7,scripts,scripts/legacy,no,false,hardcoded paths or README §7
choose_prompt_mask_training_route.py,utility,utility,6,scripts,scripts/analysis,review,true,
classify_git_status.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
cleanup_baiduyun_debris.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
cleanup_migration_backups.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
cleanup_nii_only_images.py,maintenance,governance,3,scripts,scripts/maintenance,yes,false,
collect_clinical_loop_workflow_metrics.py,current,segmentation,6,scripts,scripts/current,yes,true,
compare_dinov3_split_dice_features.py,runtime,module,,scripts,scripts/runtime,import_only,true,
compare_reader_study_v150_human_ai.py,runtime,module,,scripts,scripts/runtime,import_only,true,
compare_sam31_variants_expanded_roi.py,runtime,module,,scripts,scripts/runtime,import_only,true,
compare_sam_dino_roi_panel_expand10.py,current,segmentation,2,scripts,scripts/current,yes,true,
compare_segmentation_runs.py,unknown,unknown,,scripts,needs_review,review,false,needs manual review
compute_gc_us_triplet_stage_metrics_v1.py,runtime,module,,scripts,scripts/runtime,import_only,true,
consolidate_2025_raw_patient_videos.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
consolidate_compat_links.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
convert_clinical_data.py,unknown,data_governance,3,scripts,needs_review,review,false,needs manual review
convert_clinical_data_2019.py,unknown,data_governance,3,scripts,needs_review,review,false,needs manual review
convert_clinical_data_2019_nac.py,unknown,data_governance,3,scripts,needs_review,review,false,needs manual review
convert_clinical_data_2024.py,unknown,data_governance,3,scripts,needs_review,review,false,needs manual review
convert_clinical_data_2024_nac.py,unknown,data_governance,3,scripts,needs_review,review,false,needs manual review
convert_data.py,legacy,data_governance,3,scripts,scripts/legacy,no,false,hardcoded paths or README §7
convert_videos.sh,legacy,shell,7,scripts,scripts/legacy,no,false,
copy_tstaging_physical_train.py,current,data_governance,9,scripts,scripts/current,yes,true,
crop_prospective_reader_videos.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
crop_qualified_reader_videos.py,runtime,module,,scripts,scripts/runtime,import_only,true,
crop_tool.py,unknown,data_governance,3,scripts,needs_review,review,false,needs manual review
crop_year_dataset.py,legacy,data_governance,3,scripts,scripts/legacy,no,false,hardcoded paths or README §7
debug_efficientsam3_checkpoint_replay.py,runtime,module,,scripts,scripts/runtime,import_only,true,
deploy_public_next.sh,utility,shell,7,scripts,scripts/analysis,review,false,
diagnose_gus_o3_decode_20260826.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
discover_reader_videos.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
discretize_viewing_traces.py,runtime,module,,scripts,scripts/runtime,import_only,true,
distribute_external_crop_videos.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
download_dinov3_assets.py,legacy,legacy,,scripts,scripts/legacy,no,false,hardcoded paths or README §7
draft_tscore_discrete_bins_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
efficientsam3_runtime.py,runtime,module,,scripts,scripts/runtime,import_only,true,
ensemble_gastricus_dualconv_frozen.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
eval_gastricus_dualconv_splits.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
eval_gc_us_margin_split_discrimination.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
eval_gc_us_sign_scoring_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
eval_gc_us_tscore_feature_pack_models_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
eval_gc_us_tscore_full_split_v1.py,runtime,module,,scripts,scripts/runtime,import_only,true,
eval_gc_us_tscore_new_batches_v1.py,runtime,module,,scripts,scripts/runtime,import_only,true,
eval_gc_us_wall_layer_axis_vs_gt_v1.py,runtime,module,,scripts,scripts/runtime,import_only,true,
eval_gc_us_wall_layer_deepest_agg_v1.py,runtime,module,,scripts,scripts/runtime,import_only,true,
eval_gc_us_wall_layer_v2_vs_gt.py,runtime,module,,scripts,scripts/runtime,import_only,true,
eval_lesion_aware_wall_cluster_trad.py,current,analysis,4,scripts,scripts/current,yes,true,
eval_lesion_aware_wall_cluster_v1.py,current,analysis,4,scripts,scripts/current,yes,true,
eval_mask_grounding.py,runtime,module,,scripts,scripts/runtime,import_only,true,
eval_multimodal_controller.py,runtime,module,,scripts,scripts/runtime,import_only,true,
eval_multimodal_frozen_tracks.py,runtime,module,,scripts,scripts/runtime,import_only,true,
eval_offline_pathology_alignment.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
eval_outer_wall_continuity_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
eval_reader_study_v150_two_phase.py,runtime,module,,scripts,scripts/runtime,import_only,true,
eval_safe_path_evidence_contract.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
eval_sam31_expanded_roi_cases.py,runtime,module,,scripts,scripts/runtime,import_only,true,
eval_sam31_prompt_robustness.py,runtime,module,,scripts,scripts/runtime,import_only,true,
eval_sam31_static_registry.py,runtime,module,,scripts,scripts/runtime,import_only,true,
eval_static_breakthrough_preop_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
eval_t_stage.py,current,analysis,3,scripts,scripts/current,yes,true,
eval_tnm_backend_heads_20260814.py,current,analysis,5,scripts,scripts/current,yes,true,
eval_tstage_tent_20260827.py,current,analysis,3,scripts,scripts/current,yes,true,
eval_visual_similar_retrieval.py,utility,utility,6,scripts,scripts/analysis,review,true,
evaluate_agent_scientific_benchmark.py,runtime,module,,scripts,scripts/runtime,import_only,true,
evaluate_dino_region_clean_branch.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
evaluate_dinov3_threshold_postprocess.py,runtime,module,,scripts,scripts/runtime,import_only,true,
evaluate_external_newzip_clean.py,legacy,legacy,,scripts,scripts/legacy,no,false,hardcoded paths or README §7
evaluate_gastric_agent_by_source.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
evaluate_keyframe_scorer.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
evaluate_ma_staging_memory_fusion.py,runtime,module,,scripts,scripts/runtime,import_only,true,
evaluate_tstaging_checkpoint.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
evaluate_video_tstaging_e0.py,runtime,module,,scripts,scripts/runtime,import_only,true,
explainable_features.py,analysis,analysis,5,scripts,scripts/analysis,review_env,false,
explainable_features_v2.py,analysis,analysis,5,scripts,scripts/analysis,review_env,false,
explainable_features_v3.py,analysis,analysis,5,scripts,scripts/analysis,review_env,false,
explainable_features_v4.py,analysis,analysis,5,scripts,scripts/analysis,review_env,false,
export_adapter_dino_case_retriever.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
export_clinical_queue_json.py,current,data_governance,3,scripts,scripts/current,yes,true,
export_gastricus_dualconv_split.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
export_gastricus_dualconv_tabpfn4.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
export_imaging_truth_share_png_white.py,runtime,module,,scripts,scripts/runtime,import_only,true,
export_nnunet_prediction_review.py,unknown,segmentation,2,scripts,needs_review,review,false,needs manual review
export_patient_media_splits.py,unknown,data_governance,3,scripts,needs_review,review,false,needs manual review
export_project_logic_pdf.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
export_reader_round2_paired_tables.py,runtime,module,9,scripts,scripts/runtime,import_only,true,
export_wall_proxy_from_lumen.py,analysis,analysis,4,scripts,scripts/analysis,review_env,false,
export_zml_reader_testset.py,legacy,unknown,,scripts,scripts/legacy,no,false,hardcoded paths or README §7
extract_acc_boost2_image_features_20260816.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
extract_gc_us_clinical_cohort_features_v1.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
extract_gc_us_growth_features_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
extract_gc_us_margin_features_v1.py,legacy,analysis,4,scripts,scripts/legacy,no,true,hardcoded paths or README §7
extract_gc_us_morphology_features_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
extract_gc_us_multiframe_dynamics_v1.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
extract_gc_us_wall_layer_axis_v1.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
extract_gc_us_wall_layer_axis_v2.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
extract_gc_us_wall_layer_features_v1.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
extract_lumen_lesion_tstaging_features.py,runtime,module,,scripts,scripts/runtime,import_only,true,
extract_pathology_concepts.py,analysis,analysis,5,scripts,scripts/analysis,review_env,false,
extract_preop_report_features.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
extract_visual_similar_case_embeddings.py,utility,utility,6,scripts,scripts/analysis,review,true,
extract_xh_direct_surgery_videos.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
finish_gastricus_plan_report.py,runtime,module,,scripts,scripts/runtime,import_only,true,
fit_tnm_regularized_n_head_20260814.py,current,analysis,5,scripts,scripts/current,yes,true,
fix_mislabeled_hubei_to_cnnc504.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
freeze_clean_adapter_route_decision.py,utility,utility,6,scripts,scripts/analysis,review,true,
freeze_clean_adapter_static_candidates.py,utility,utility,6,scripts,scripts/analysis,review,true,
freeze_clinical_sam2_loop_contract.py,current,segmentation,6,scripts,scripts/current,yes,true,
freeze_detection_internal_holdout_split.py,current,detection,1,scripts,scripts/current,review_paths,false,
freeze_patient_disjoint_prompt_route.py,runtime,module,,scripts,scripts/runtime,import_only,true,
freeze_prompt_mask_baselines.py,utility,utility,6,scripts,scripts/analysis,review,true,
freeze_prompt_mask_static_protocol.py,utility,utility,6,scripts,scripts/analysis,review,true,
freeze_real_cine_training_package.py,current,data_governance,3,scripts,scripts/current,yes,true,
freeze_sms_internal_holdout_split.py,current,segmentation,2,scripts,scripts/current,review_paths,false,
freeze_zml_reader_v150_inputs_20260827.py,current,data_governance,3,scripts,scripts/current,review_paths,false,
gc_us_contour_features.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
gc_us_outer_wall_continuity.py,analysis,analysis,4,scripts,scripts/analysis,review_env,false,
gc_us_tscore_featurepack_v2.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
gc_us_wall_dash.py,current,visualization,5,scripts,scripts/current,review_paths,false,
gc_us_wall_layer_features.py,runtime,module,,scripts,scripts/runtime,import_only,false,
generate_agent_architecture_image_poe.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_agent_figures_poe_batch.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
generate_arc_band_deep_dive.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_breakthrough_case_study.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_clean_agent_case_visual_panels.py,legacy,legacy,,scripts,scripts/legacy,no,false,hardcoded paths or README §7
generate_contact_focus_analysis.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
generate_contact_focus_visualization.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
generate_crop_roi_overlay_montage.py,unknown,unknown,,scripts,needs_review,review,false,needs manual review
generate_crop_ui_overlay_montage.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_curved_wall_band_overlay.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
generate_dinov3_baseline_error_review.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
generate_dinov3_classification_auc_figure.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_dinov3_feature_visualizations.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_dinov3_unetpp_case_panel.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_edge_zoom_clustering.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
generate_external_centers_montage.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
generate_external_source_case_panels.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_external_source_dino_token_panels.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_external_source_lesion_focus_panels.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_external_test_set_statistics.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_focus_lesion_weikang_panels.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_framelevel_prospective_dino_case_panels.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_framelevel_prospective_stats_html.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_gastric_lumen_dual_overlays.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
generate_gastritis_montages.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_gpu_schedule.py,runtime,module,9,scripts,scripts/runtime,import_only,false,
generate_joint_lumen_lesion_review.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_local_zoom_group.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
generate_lumen_multisource_review_bundle.py,runtime,module,,scripts,scripts/runtime,import_only,false,
generate_lumen_review_bundle.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_mainline_metric_figures.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_multicenter_arc_band_zoom.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_overlay_overview.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
generate_result_figures_html.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
generate_single_case_wall_strip_figure.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
generate_t2_t3_local_examples.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
generate_video_arcband_review.py,runtime,module,,scripts,scripts/runtime,import_only,true,
generate_video_deep_dive.py,runtime,module,,scripts,scripts/runtime,import_only,false,
generate_wall_neighborhood_examples.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
generate_yolo_detection_comparison.py,unknown,detection,1,scripts,needs_review,review,false,needs manual review
generate_yolo_detection_model_comparison.py,unknown,detection,1,scripts,needs_review,review,false,needs manual review
generate_yolo_detection_prediction_visuals.py,unknown,detection,1,scripts,needs_review,review,false,needs manual review
generate_yolo_detection_qc_overlays.py,current,detection,1,scripts,scripts/current,yes,true,
generate_yolo_detection_report.py,current,detection,1,scripts,scripts/current,review_paths,false,
generate_yolo_detection_year_comparison.py,unknown,detection,1,scripts,needs_review,review,false,needs manual review
harvest_gastricus_dualconv.py,runtime,module,,scripts,scripts/runtime,import_only,true,
harvest_gastricus_longrun.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
import_reader_expertise_registry.py,unknown,unknown,9,scripts,needs_review,review,true,needs manual review
ingest_doctor_mask_corrections.py,current,segmentation,6,scripts,scripts/current,yes,true,
