script,status,task,readme_section,owner_workspace,move_candidate,safe_to_run,uses_project_root,notes
run_internal_prospective_tabular_baseline.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_lan_merged_system.sh,utility,shell,7,scripts,scripts/analysis,review,false,
run_local_mllm_sft.py,runtime,module,8,scripts,scripts/runtime,import_only,true,
run_maskroi_clin10_retrain_20260820.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_maskroi_clin11_tabpfn_freeze_20260820.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_maskroi_tabpfnclin_retrain_20260820.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_medsiglip_gastricus.py,current,analysis,9,scripts,scripts/current,yes,true,
run_medsiglip_gastricus_longrun.py,unknown,unknown,9,scripts,needs_review,review,true,needs manual review
run_multiframe_maskshape_nomiss_20260821.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_multimodal_agent_smoke.py,unknown,unknown,8,scripts,needs_review,review,true,needs manual review
run_multiview_dinov3_baseline.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_patient_mil_image_dino_fusion.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_pipeline_step_by_step.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_prompt_mask_cine_static_eval.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_prompt_mask_ibis_baseline.py,utility,utility,6,scripts,scripts/analysis,review,true,
run_prompt_mask_static_eval.py,utility,utility,6,scripts,scripts/analysis,review,true,
run_prompt_mask_video_benchmark.py,utility,utility,6,scripts,scripts/analysis,review,true,
run_prompt_policy_sft.py,utility,utility,6,scripts,scripts/analysis,review,true,
run_real_temporal_adapter_gate.py,utility,utility,6,scripts,scripts/analysis,review,true,
run_round2_backend_gate_20260815.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
run_sabm_gus_finetune.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_sabm_gus_sam2_finetune.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_sam2_native_video_canary.py,utility,utility,6,scripts,scripts/analysis,review,true,
run_sam2_prompt_benchmark.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_sam2_static_prompt_adapter_finetune.py,utility,utility,6,scripts,scripts/analysis,review,true,
run_sam2_temporal_adapter_finetune.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_sam2_tracking_canary.py,utility,utility,6,scripts,scripts/analysis,review,true,
run_sam31_clean_until_converged.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
run_sam31_epoch3_continuation.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
run_sam31_native_video_canary.py,utility,utility,6,scripts,scripts/analysis,review,true,
run_sam3_concept_candidate_probe.py,utility,utility,6,scripts,scripts/analysis,review,true,
run_sam_dino_fusion_probe.py,unknown,unknown,,scripts,needs_review,review,false,needs manual review
run_sms_inference.py,current,segmentation,2,scripts,scripts/current,yes,true,
run_sms_train.py,current,segmentation,2,scripts,scripts/current,yes,true,
run_static_promotion_gate.py,utility,utility,6,scripts,scripts/analysis,review,true,
run_tabfm_boost2_image_score_head_20260816.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_tabfm_dual_expert_20260816.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_tabfm_feature_ensemble_20260816.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_tabfm_full_feature_retest_20260820.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_tabfm_hierarchical_20260816.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_tabfm_image_score_head_20260815.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_tabfm_image_score_head_opt_20260816.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_tabfm_vs_mlp_20260815.py,runtime,module,,scripts,scripts/runtime,import_only,true,
run_tabpfn25_fusion_acc80_20260820.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_tabpfn25_gated_t34_20260820.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_tabpfn25_maskroi_clin10_20260820.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_tabpfn25_raw512_optimize_20260820.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_time_cat_dualbranch_20260820.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_time_entropy_router_20260820.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
